flag,start,end,n_samples,duration_minutes,max_intra_event_gap_minutes,continuity_gap_definition_minutes,continuity_gap_minutes
WTI,2020-01-29 21:30:00,2020-01-29 21:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-29 22:15:00,2020-01-29 22:45:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-30 00:00:00,2020-01-30 00:45:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-30 01:30:00,2020-01-30 02:00:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-30 03:00:00,2020-01-30 03:30:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-30 04:00:00,2020-01-30 04:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-30 04:45:00,2020-01-30 04:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-30 05:15:00,2020-01-30 05:30:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-30 06:00:00,2020-01-30 07:00:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-30 07:30:00,2020-01-30 08:30:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-30 09:15:00,2020-01-30 09:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-30 09:45:00,2020-01-30 09:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-30 10:15:00,2020-01-30 10:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-30 10:45:00,2020-01-30 10:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-30 14:30:00,2020-01-30 14:30:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-30 15:04:00,2020-01-30 16:00:00,7,56.0,15.0,15.0,15.0
WTI,2020-01-30 16:10:00,2020-01-30 16:15:00,2,5.0,5.0,15.0,15.0
WTI,2020-01-30 16:45:00,2020-01-30 17:30:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-30 18:00:00,2020-01-30 18:45:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-30 19:15:00,2020-01-30 20:45:00,7,90.0,15.0,15.0,15.0
WTI,2020-01-30 21:15:00,2020-01-31 01:45:00,19,270.0,15.0,15.0,15.0
WTI,2020-01-31 02:15:00,2020-01-31 02:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-31 02:45:00,2020-01-31 05:30:00,12,165.0,15.0,15.0,15.0
WTI,2020-01-31 06:00:00,2020-01-31 07:15:00,6,75.0,15.0,15.0,15.0
WTI,2020-01-31 07:45:00,2020-01-31 11:30:00,16,225.0,15.0,15.0,15.0
WTI,2020-01-31 11:56:00,2020-01-31 12:45:00,5,49.0,15.0,15.0,15.0
WTI,2020-01-31 13:30:00,2020-01-31 14:15:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-31 14:45:00,2020-01-31 15:15:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-31 15:45:00,2020-01-31 16:29:00,4,44.0,15.0,15.0,15.0
WTI,2020-01-31 16:31:00,2020-01-31 22:00:00,23,329.0,15.0,15.0,15.0
WTI,2020-01-31 22:30:00,2020-02-01 11:15:00,52,765.0,15.0,15.0,15.0
WTI,2020-02-01 11:29:00,2020-02-01 12:00:00,4,31.0,15.0,15.0,15.0
WTI,2020-02-01 12:30:00,2020-02-01 13:00:00,3,30.0,15.0,15.0,15.0
WTI,2020-02-01 13:30:00,2020-02-01 13:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-02-01 14:30:00,2020-02-01 14:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-02-01 16:00:00,2020-02-01 16:45:00,6,45.0,15.0,15.0,15.0
WTI,2020-02-01 17:15:00,2020-02-01 19:30:00,10,135.0,15.0,15.0,15.0
WTI,2020-02-01 20:00:00,2020-02-01 21:15:00,6,75.0,15.0,15.0,15.0
WTI,2020-02-01 21:31:00,2020-02-02 03:15:00,24,344.0,15.0,15.0,15.0
WTI,2020-02-02 04:00:00,2020-02-02 07:30:00,15,210.0,15.0,15.0,15.0
